"Mã số sinh viên","Họ","Tên","Giới tính","Ngày sinh","Quốc tịch","Dân tộc","Tôn giáo","Nơi sinh","Địa chỉ cư trú","CCCD","Địa chỉ hiện tại","Số điện thoại","email","Số điện thoại bố","Số điện thoại bố","Tình trạng nhập ngũ","Ngày nhập ngũ","Tên trường","Hình thức học tập","Trình độ học tập","Khóa","Lớp","Ngành","Năm học","GPA","Quản lý bởi","Ghi chú"
"20140000","Tấn Bế","Ban","Nam","1993-07-25","Việt Nam","Mường","Không có","391 Ứng Lý, Phan Tăng, Lều Xung","58 Cung Sái, Đỗ Trương, Nhữ Triệu","5875385332","220 H’nia Lò, Bảo Chu/Châu, Văn Đào","5582841904","fgoadby0@army.mil","8224186091","5738875314",false,"","UET","Chính quy","Sinh viên","K141","QH2014-2","Cơ kỹ thuật","2014","3.1","Danho",""
"20110000","Nhữ Cầm","Bảo","Nam","1998-04-09","Mỹ","Kinh","Không có","483 Chu/Châu Xung, Thôi Trưng, Hàn Đức","352 Diệp Quách, Thành Khuất, Đỗ Giả","3075575003","100 Tấn H’ma, Khai Liên, Đường Chiêm","3129407075","mbaillie2@tiny.cc","59731320933","3525582268",false,"","UET","Chính quy","Sinh viên","K11","QH2011-CLC2","Công nghệ thông tin","2011","2.2","Danho",""
"20170001","Tề Cáp","Chuyên","Khác","2005-07-10","Việt Nam","Tày","Không có","135 Hồ Mùa, Lăng Tăng, Bạch Kông","115 Quách Tào, Khoa Triệu, Huỳnh Bạch","7574536791","221 Lương Lâm, Lại Khoa, Ca Phương","5885818177","nwaynev@printfriendly.com","5121337718","3649486853",false,"","UET","Chính quy","Thạc sĩ","K17","QH2017-CLC2","Mạng máy tính và truyền thông dữ liệu","2017","2.6","",""
"20100002","Kiểu Triệu","Chánh","Nam","1994-07-12","Việt Nam","Tày","Không có","151 Cù Văn, Đậu Dương, Nghị Khâu","380 Sùng Hi, Chúng Chiêm, Sơn Đăng","2127083857","17 Vưu Doãn, Hà Khoa, Chương Cáp","3483214000","gelijahuj@vkontakte.ru","7586811963","2213274481",true,"2016-07-27","UET","Chính quy","Sinh viên","K10","QH2010-2","Vật lý kỹ thuật","2010","2.7","",""
"20110003","Đỗ Khổng","Diệu","Khác","1999-05-19","Việt Nam","Kinh","Tin Lành","344 Đồ Điêu, Cái Điêu, Lô Cảnh","199 Ngạc Lăng, Tào Trình, Đổng Cầm","2800060980","60 Hề Đặng, Ngụy Thành, Quản Cao","1819233713","psantry1k@meetup.com","5655181526","8044156176",false,"","UET","Chính quy","Sinh viên","K11","QH2011-2","Kỹ thuật Robot","2011","2.9","Danho",""
"20090004","Cổ Phí","Doanh","Nữ","2003-02-07","Việt Nam","Kinh","Không có","290 Chương Nhan, Thang Thế, Uông Xung","339 Kiều Lục, Thang Hướng, Hàn Luyện","7586419531","234 Quang Thập, Phi Cát, Đầu Đống","3449695954","vemblin1o@1688.com","2502839126","3422320425",false,"","UET","Chính quy","Sinh viên","K09","QH2009-1","Khoa Học Máy Tính","2009","2.2","",""
"20060004","Mầu/Màu Quàng","Dũ","Khác","1994-06-14","Việt Nam","Thái","Không có","216 Đường Tăng, Tôn Luyện, Khiếu Quản","194 Dã Đàm, Khuất Điêu, Công Mục","2391993366","136 Ấu Đèo, Thoa Hoàng, Cam Phù","4469294436","cburrass1f@icio.us","5699699612","9339510659",false,"","UET","Chính quy","Thạc sĩ","K06","CA2006-CLC2","Cơ kỹ thuật","2006","2.7","Danhdo",""
"20200001","Tiếp Anh","Dịch","Nữ","1993-03-02","Việt Nam","Tày","Không có","118 Tri Kha, Lại Phạm, Thế Trần","70 Lăng Đôn, Nhữ Chung, Điêu Bảo","1406961701","270 Điêu Cảnh, Cáp Trương, Khà Tòng","9388178884","sahlink@wsj.com","5348746601","1094479548",false,"","UET","Chính quy","Thạc sĩ","K20","CA2020-1","Công nghệ thông tin","2020","2","",""
"20170003","Sái Hùng","Dự","Khác","2000-11-29","Việt Nam","Nùng","Không có","201 Hoàng Chương, Mạch Thân, Trang Vạn","409 Xung Lã, Hoàng Đoạn, Hề Lâm","2049616368","118 Dương Quàng, Bùi Thẩm, Cảnh Văn","4314514365","ndinjes27@whitehouse.gov","7331945901","3274026730",false,"","UET","Chính quy","Sinh viên","K17","CA2017-2","Cơ kỹ thuật","2017","2.1","",""
"20190001","Mầu/Màu Luyện","Giao","Khác","1994-05-02","Việt Nam","Mường","Không có","480 Bì Tuấn, Thế Nghị, Bàng Cự","75 Tinh Hi, Mai Đậu, Mục Huỳnh","3521191303","205 Quách Hứa, Thào Linh, Nhữ Trang","4729753889","swiersmau@wp.com","2391284204","3708327766",true,"2020-09-11","UET","Chính quy","Sinh viên","K19","QH2019-1","Mạng máy tính và truyền thông dữ liệu","2019","2.2","",""
"20130005","Đinh Hán","Giám","Nữ","2003-02-28","Việt Nam","Mông","Không có","102 Cấn Đới, Đầu Lỗ, Biện Trác","393 Ấu Lã, Tuấn Hứa, Chriêng Giao","2245605837","262 Kông Cống, Doãn Điều, Hi Thi","8191930801","ncaig1e@wordpress.com","2532691661","3521090720",false,"","UET","Chính quy","Sinh viên","K13","CA2013-2","Công nghệ thông tin","2013","2.5","",""
